year,month,day,ActualMax,AverageTemp,MaxAvTemp,MinAvTemp
1978,08,01,38,18.1,26.4,9.8
1978,09,01,42,24.9,32.1,17.8
1978,10,01,43,29.4,34.0,24.8
1978,11,01,37,28.2,32.1,24.3
1978,12,01,41,31.8,35.3,28.3
1979,01,01,49,34.5,38.2,30.9
1979,02,01,42,33.8,36.8,30.8
1979,03,01,49,34.2,38.2,30.2
1979,04,01,43,30.2,34.4,26.0
1979,05,01,45,18.6,24.5,12.7
1979,06,01,33,12.0,21.0,3.0
1979,07,01,41,15.9,24.7,7.1
1979,08,01,34,20.3,26.9,13.7
1979,09,01,43,22.3,29.9,14.8
1979,10,01,40,24.1,30.3,18.0
1979,11,01,43,28.3,32.8,23.7
1979,12,01,45,32.3,36.2,28.3
1980,01,01,50,34.4,38.1,30.7
1980,02,01,48,35.2,39.0,31.4
1980,03,01,38,31.2,34.0,28.4
1980,04,01,45,20.7,27.2,14.3
1980,05,01,42,15.5,24.5,6.5
1980,06,01,36,10.9,19.8,1.9
1980,07,01,38,2.3,10.9,-6.3
1980,08,01,35,7.9,16.3,-0.5
1980,09,01,42,17.8,26.8,8.8
1980,10,01,42,25.4,31.5,19.2
1980,11,01,44,28.5,33.2,23.8
1980,12,01,46,33.6,38.6,28.6
1981,01,01,44,33.2,36.3,30.0
1981,02,01,43,34.1,37.1,31.1
1981,03,01,39,31.8,33.9,29.7
1981,04,01,44,30.4,34.2,26.6
1981,05,01,35,24.5,28.7,20.3
1981,06,01,44,18.9,24.3,13.5
1981,07,01,35,13.1,22.1,4.1
1981,08,01,33,12.5,20.6,4.4
1981,09,01,40,21.0,27.2,14.8
1981,10,01,42,18.8,25.6,12.0
1981,11,01,47,31.0,36.0,26.1
1981,12,01,44,32.7,35.6,29.7
1982,01,01,48,34.8,38.0,31.5
1982,02,01,42,34.6,37.4,31.8
1982,03,01,47,33.7,37.7,29.8
1982,04,01,42,31.1,35.5,26.7
1982,05,01,41,30.0,33.9,26.2
1982,06,01,38,24.8,28.9,20.7
1982,07,01,34,8.0,16.3,-0.4
1982,08,01,39,13.2,20.7,5.7
1982,09,01,40,20.7,29.7,11.8
1982,10,01,38,27.2,31.8,22.6
1982,11,01,44,26.9,32.4,21.3
1982,12,01,44,32.8,36.3,29.2
1983,01,01,43,33.2,36.1,30.4
1983,02,01,42,32.8,36.5,29.2
1983,03,01,40,31.2,34.6,27.7
1983,04,01,42,27.4,31.9,22.8
1983,05,01,41,20.4,26.2,14.6
1983,06,01,39,16.9,24.1,9.8
1983,07,01,36,22.6,28.3,17.0
