dt,AverageTemperature,AverageTemperatureUncertainty,Country
1868.0801,24.444000000000003,0.93,Brazil
1868.0901,25.07,0.873,Brazil
1868.1001,25.725,0.807,Brazil
1868.1101,25.127,0.967,Brazil
1868.1201,25.248,1.158,Brazil
1869.0101,25.354000000000006,1.211,Brazil
1869.0201,25.748,1.104,Brazil
1869.0301,24.627,0.927,Brazil
1869.0401,24.684,1.209,Brazil
1869.0501,24.6,0.86,Brazil
1869.0601,23.747,1.365,Brazil
1869.0701,23.49,0.934,Brazil
1869.0801,24.31,0.894,Brazil
1869.0901,25.298000000000002,0.7809999999999999,Brazil
1869.1001,25.171999999999997,0.8270000000000001,Brazil
1869.1101,25.304000000000002,0.747,Brazil
1869.1201,24.634,0.84,Brazil
1870.0101,24.98,0.88,Brazil
1870.0201,24.718000000000004,1.047,Brazil
1870.0301,24.704,0.887,Brazil
1870.0401,24.293000000000003,1.043,Brazil
1870.0501,24.195999999999998,0.892,Brazil
1870.0601,23.691999999999997,0.79,Brazil
1870.0701,23.705,0.799,Brazil
1870.0801,23.995,0.79,Brazil
1870.0901,24.918000000000003,0.9,Brazil
1870.1001,25.607,1.012,Brazil
1870.1101,25.194000000000003,1.037,Brazil
1870.1201,24.518,1.217,Brazil
1871.0101,24.768,0.847,Brazil
1871.0201,24.5,1.09,Brazil
1871.0301,25.078000000000003,0.765,Brazil
1871.0401,24.715999999999998,0.76,Brazil
1871.0501,23.682,0.835,Brazil
1871.0601,23.034,0.7390000000000001,Brazil
1871.0701,23.122,0.795,Brazil
1871.0801,24.328000000000003,0.75,Brazil
1871.0901,24.886999999999997,0.762,Brazil
1871.1001,25.423,0.831,Brazil
1871.1101,24.825,0.883,Brazil
1871.1201,24.874,0.773,Brazil
1872.0101,25.046999999999997,1.988,Brazil
1872.0201,24.973000000000006,1.165,Brazil
1872.0301,25.045,1.105,Brazil
1872.0401,24.043000000000003,0.984,Brazil
1872.0501,23.663,0.7759999999999999,Brazil
1872.0601,22.823,0.828,Brazil
1872.0701,23.083000000000002,0.947,Brazil
1872.0801,24.289,0.847,Brazil
1872.0901,25.347,0.923,Brazil
1872.1001,25.344,0.852,Brazil
1872.1101,25.007,0.847,Brazil
1872.1201,24.565,1.5659999999999998,Brazil
1873.0101,25.316999999999997,0.927,Brazil
1873.0201,25.371,0.936,Brazil
1873.0301,24.645,0.8640000000000001,Brazil
1873.0401,24.249,1.204,Brazil
1873.0501,24.653000000000002,0.835,Brazil
1873.0601,23.829,0.93,Brazil
1873.0701,23.416,0.82,Brazil
1873.0801,24.553,0.7709999999999999,Brazil
1873.0901,24.987,1.055,Brazil
1873.1001,25.373,0.821,Brazil
1873.1101,25.142,0.757,Brazil
1873.1201,25.366,0.7879999999999999,Brazil
1874.0101,25.136999999999997,0.916,Brazil
1874.0201,25.024,0.757,Brazil
1874.0301,24.483,0.743,Brazil
1874.0401,24.445999999999998,0.866,Brazil
1874.0501,23.659000000000002,0.873,Brazil
1874.0601,23.114,1.103,Brazil
1874.0701,23.057,1.039,Brazil
1874.0801,24.017,1.178,Brazil
1874.0901,25.163,0.736,Brazil
1874.1001,25.155,0.748,Brazil
1874.1101,24.726999999999997,1.056,Brazil
1874.1201,24.622,1.11,Brazil
1875.0101,24.375,0.723,Brazil
1875.0201,24.526999999999997,0.8590000000000001,Brazil
1875.0301,23.987,0.825,Brazil
1875.0401,23.844,0.958,Brazil
